index,r_mean,g_mean,b_mean,rgb_mean,r_std,g_std,b_std,rgb_std,r_skew,g_skew,b_skew,rgb_skew,r_kurtosis,g_kurtosis,b_kurtosis,rgb_kurtosis,DateTime
0975,104.81494068063772,97.75420229981138,103.30143910125886,101.95686069390266,5.954807917286533,5.567025476111643,5.925025249162013,6.562425467975264,8.727665313906567,9.96789402256403,7.803544220805999,6.124139745043889,8.727665313906567,9.96789402256403,7.803544220805999,6.124139745043889,2021-12-29 20:48:12
0976,104.64684857654964,97.69152056184271,103.32301579646776,101.88712831162003,6.034514687081053,5.608260340778863,5.933734293245505,6.591866387733307,8.6773842108711,9.947374995262283,7.775239062066136,6.160012768095377,8.6773842108711,9.947374995262283,7.775239062066136,6.160012768095377,2021-12-29 20:48:43
0977,104.95264313762789,97.8761086797518,103.38280022040752,102.07051734592908,5.931339614381253,5.543944626391581,5.907650300248913,6.5431450947380325,8.71621759452595,9.955534825221445,7.795330013363135,6.103896834672637,8.71621759452595,9.955534825221445,7.795330013363135,6.103896834672637,2021-12-29 20:49:14
0978,105.09982834246041,98.00213441643804,103.39346292545439,102.16514189478428,6.0094873615320035,5.602642135082777,5.94388522537459,6.5900201613240235,8.735237919849252,10.0255704355721,7.865694258550758,6.198338322515207,8.735237919849252,10.0255704355721,7.865694258550758,6.198338322515207,2021-12-29 20:49:45
0979,104.32544927679898,97.48682042502573,103.10896999671354,101.64041323284609,5.9269699168114895,5.524983416443758,5.898289710401082,6.508011636790313,8.8119314227906,9.998553882233079,7.820060004548589,6.206624710704714,8.8119314227906,9.998553882233079,7.820060004548589,6.206624710704714,2021-12-29 20:50:16
0980,104.37345885532764,97.52403886513346,103.22036309192102,101.70595360412737,6.21846608394411,5.75730212371297,6.016818622114789,6.706101345253067,9.009726230748644,10.316697744282886,8.04779782698927,6.516315360948974,9.009726230748644,10.316697744282886,8.04779782698927,6.516315360948974,2021-12-29 20:50:47
0981,104.20607796290938,97.37789145331433,103.10956511041809,101.5645115088806,6.099086503212444,5.658440541120869,5.965655578872786,6.625674895665313,8.751581205032684,10.052805655895991,7.885444183190586,6.2885651758207235,8.751581205032684,10.052805655895991,7.885444183190586,6.2885651758207235,2021-12-29 20:51:18
0982,104.37856872865584,97.51674417322174,103.0494007447238,101.64823788220046,6.001203400671571,5.588413868215967,5.932675915637492,6.555625052945916,8.87915885178667,10.221612122953719,8.000674258622825,6.367754982109802,8.87915885178667,10.221612122953719,8.000674258622825,6.367754982109802,2021-12-29 20:51:49
0983,110.23996288437357,101.80961290035937,105.21747420615783,105.75568333029692,7.576719699790593,6.366592758242184,5.840337565847892,7.483751992594677,3.451647188272312,5.715290130871807,7.276221345564108,3.731171392521845,3.451647188272312,5.715290130871807,7.276221345564108,3.731171392521845,2021-12-29 20:52:20
0984,118.07314919749514,107.49803554428512,108.12489171632087,111.2320254860337,6.034289906198626,5.392966511568458,5.317691249454509,7.397578826322489,4.1297397890970515,6.09922906542648,6.841643519847241,2.708072829303267,4.1297397890970515,6.09922906542648,6.841643519847241,2.708072829303267,2021-12-29 20:52:51
0985,110.4489736604974,101.90093254574259,105.25607209103153,105.86865943242384,7.000215617503659,6.158862777929381,5.814089081030433,7.253404708068335,4.461191081952651,6.390295592864686,7.35306338613546,4.0717010598857994,4.461191081952651,6.390295592864686,7.35306338613546,4.0717010598857994,2021-12-29 20:53:22
0986,104.2274825763746,97.39439355111526,102.96346899380573,101.5284483737652,5.8905089625816025,5.5156736293878295,5.905562713772797,6.491812830377309,9.195970198014827,10.311898296386532,7.980289969207903,6.4077824060076205,9.195970198014827,10.311898296386532,7.980289969207903,6.4077824060076205,2021-12-29 20:53:53
0987,104.12432942261803,97.3395670126386,102.96154037217435,101.475145602477,6.011140520174712,5.623236637794105,5.965233280157431,6.574424266849645,8.939385731523291,10.125850756453634,7.960115181178125,6.377157427071678,8.939385731523291,10.125850756453634,7.960115181178125,6.377157427071678,2021-12-29 20:54:24
0988,104.04466221743542,97.28110794744155,103.00551900702304,101.4437630573,5.948400011677163,5.556802412611582,5.925283478616973,6.529470517201645,8.91776918602708,10.08247722601517,7.859980589827683,6.282024853566294,8.91776918602708,10.08247722601517,7.859980589827683,6.282024853566294,2021-12-29 20:54:55
0989,103.38398280097951,96.7687288902642,102.63339779003059,100.92870316042476,5.935951108004575,5.542909190810938,5.91652194660812,6.511639773534258,8.921989897769672,10.056423318585034,7.866346071638824,6.290864792978317,8.921989897769672,10.056423318585034,7.866346071638824,6.290864792978317,2021-12-29 20:55:26
0990,103.431942200628,96.83216208347622,102.63449804151664,100.96620077520696,6.170975804787491,5.718694038241719,6.014448661849753,6.656109199897016,8.821346365635305,10.10053629052576,7.959165534923483,6.442788022702353,8.821346365635305,10.10053629052576,7.959165534923483,6.442788022702353,2021-12-29 20:55:57
0991,104.11834239567258,97.32145344159022,103.05896297501928,101.4995862707607,6.094575792843619,5.660788745058967,5.989709873283411,6.628507649105503,8.728171406550072,10.020594122102981,7.904732779063312,6.293847459007009,8.728171406550072,10.020594122102981,7.904732779063312,6.293847459007009,2021-12-29 20:56:28
0992,105.04172069687357,98.06260789296482,103.45488299111226,102.18640386031689,6.024788647604167,5.594838197408532,5.928779872635555,6.570598405127346,8.7519673945102,10.127374966208514,7.958530111131098,6.296909090133209,8.7519673945102,10.127374966208514,7.958530111131098,6.296909090133209,2021-12-29 20:56:59
0993,105.63147034054212,98.53644488159793,103.65524592004958,102.60772038072989,6.101514372590475,5.651335028789045,5.9503377126994215,6.617860729534454,8.236613950616489,9.6465341075428,7.732253237478787,6.050882269270149,8.236613950616489,9.6465341075428,7.732253237478787,6.050882269270149,2021-12-29 20:57:30
0994,104.71739779360283,97.7977491953518,103.237218451271,101.91745514674187,5.91065321146554,5.522192204816462,5.898639903789009,6.500713088560022,8.931349197308052,10.126099342685173,7.895508938410441,6.283569134539044,8.931349197308052,10.126099342685173,7.895508938410441,6.283569134539044,2021-12-29 20:58:01
0995,105.0499443957726,98.0509984871542,103.36881097375829,102.15658461889504,5.938129409405937,5.543310160136522,5.904501482774077,6.520472048183495,8.750155277498518,9.96327416486045,7.823872749951692,6.193456492550893,8.750155277498518,9.96327416486045,7.823872749951692,6.193456492550893,2021-12-29 20:58:32
0996,105.41124528240384,98.32766847824145,103.57026014428298,102.43639130164276,6.078164493197776,5.613644639522482,5.923493139586126,6.597016465004789,8.475005395900219,9.882110608406034,7.775976866172157,6.137660747678888,8.475005395900219,9.882110608406034,7.775976866172157,6.137660747678888,2021-12-29 20:59:03
0997,104.56418180182256,97.67846958769147,103.0734806348594,101.77204400812448,6.009387377039186,5.600291254231157,5.946283392152713,6.559507279447001,8.74442776994736,9.966770598782025,7.832284404443703,6.2663333973962665,8.74442776994736,9.966770598782025,7.832284404443703,6.2663333973962665,2021-12-29 20:59:34
0998,103.6692927691508,96.99174465324216,102.69742073857954,101.1194860536575,6.078513496531785,5.670553356525028,5.991499517234064,6.60886297297525,8.947629424036558,10.146427437071107,7.954603971110094,6.4379956203505,8.947629424036558,10.146427437071107,7.954603971110094,6.4379956203505,2021-12-29 21:00:05
0999,103.6348190970436,96.93322100855195,102.61914123897962,101.06239378152506,6.193053959329387,5.75216708634798,6.039083317812249,6.683381711159484,9.013634983674363,10.267424772329703,8.04560178206684,6.558791206370753,9.013634983674363,10.267424772329703,8.04560178206684,6.558791206370753,2021-12-29 21:00:36
1000,104.00839209676498,97.12965597493712,102.67039447186143,101.26948084785451,6.127125446166068,5.701558074473142,6.010818738335225,6.652861950682823,8.874016278845657,10.172656006181798,7.99793805331308,6.421395072339381,8.874016278845657,10.172656006181798,7.99793805331308,6.421395072339381,2021-12-29 21:01:07
1001,103.71527208451218,96.86845927506644,102.51895148578603,101.03422761512155,5.878343534136845,5.469286192136637,5.876532983574959,6.474248588210732,8.706852546762995,9.863939292625373,7.72176560240958,6.089466333036808,8.706852546762995,9.863939292625373,7.72176560240958,6.089466333036808,2021-12-29 21:01:38
1002,103.53402714147163,96.72580853302183,102.4351514721222,100.89832904887189,6.107112180994547,5.687163174067556,6.012190450326416,6.645944458135,8.886794077447721,10.136147053215081,7.956136376356452,6.386027584187244,8.886794077447721,10.136147053215081,7.956136376356452,6.386027584187244,2021-12-29 21:02:09
1003,103.93077284852609,97.01540022764132,102.5749157285058,101.1736962682244,6.01018877314653,5.590891363423729,5.951978542952442,6.574262876522799,8.706781742167585,9.955774826677173,7.874709181672025,6.217607709943601,8.706781742167585,9.955774826677173,7.874709181672025,6.217607709943601,2021-12-29 21:02:40
1004,104.06829362336391,97.13360419881687,102.71308458674483,101.30499413630854,5.8824232992471375,5.4628962013869,5.869827095698467,6.478684169243686,8.559090262499526,9.771840124373805,7.674013788760925,6.003425147133207,8.559090262499526,9.771840124373805,7.674013788760925,6.003425147133207,2021-12-29 21:03:11
1005,104.66504737913309,97.54815297067901,102.81422210121242,101.67580748367484,6.029125673330899,5.598500526788078,5.951283404437346,6.592430342594283,8.680382269351927,10.051153201725244,7.879562970770106,6.217011017059361,8.680382269351927,10.051153201725244,7.879562970770106,6.217011017059361,2021-12-29 21:03:42
1006,105.01311164650134,97.78958722931313,102.92636815870414,101.9096890115062,5.986637020723502,5.569117664365024,5.932659379830078,6.5749891997351995,8.546612519949798,9.89510313445096,7.815163413824081,6.090459018058668,8.546612519949798,9.89510313445096,7.815163413824081,6.090459018058668,2021-12-29 21:04:13
1007,104.70830927649534,97.5397863819766,102.83083170126386,101.6929757865786,6.065334519519493,5.632335554910078,5.9689243511272725,6.6276058752955125,8.612117937110916,9.986446964205062,7.876316308951926,6.180036352464945,8.612117937110916,9.986446964205062,7.876316308951926,6.180036352464945,2021-12-29 21:04:44
1008,104.41096982881801,97.29526899675282,102.59275116678455,101.43299666411846,6.144051035726535,5.685633817776109,5.997963527904266,6.667970866936186,8.623458622855928,10.016775984440821,7.88812442981814,6.2530085582811,8.623458622855928,10.016775984440821,7.88812442981814,6.2530085582811,2021-12-29 21:05:15
1009,104.56357496668882,97.41159391119756,102.6109092234475,101.52869270044462,5.9953239506415406,5.574955336976407,5.945630611638161,6.575377430624793,8.54897717323265,9.888601047327377,7.8182051630320295,6.116384347692458,8.54897717323265,9.888601047327377,7.8182051630320295,6.116384347692458,2021-12-29 21:05:46
1010,104.7983906366098,97.55565948556098,102.68443551606438,101.67949521274505,6.051632135305578,5.620411678123077,5.9656696043170765,6.6217804137446725,8.609376897688426,9.987167420379338,7.855133345388272,6.164170844641841,8.609376897688426,9.987167420379338,7.855133345388272,6.164170844641841,2021-12-29 21:06:17
1011,104.74972901172053,97.53081960028364,102.76189412490712,101.6808142456371,6.054251867174915,5.646422864459506,5.983281394038853,6.636895363020364,8.77004808772152,10.094168318765211,7.96402425588967,6.253529069301354,8.77004808772152,10.094168318765211,7.96402425588967,6.253529069301354,2021-12-29 21:06:48
1012,104.20751484267832,97.1561690663223,102.4267739434192,101.26348595080661,6.099456224783063,5.680679306007535,6.006642345388227,6.644391944606614,8.781726388052604,10.082156536459408,7.970825979122889,6.3443275476677545,8.781726388052604,10.082156536459408,7.970825979122889,6.3443275476677545,2021-12-29 21:07:19
1013,104.32488910411665,97.2376420972115,102.47184445730453,101.3447918862109,5.96858805839346,5.564300954955999,5.933830205187645,6.552753511503739,8.59304253437835,9.853272364531573,7.803302736286206,6.124451171112887,8.59304253437835,9.853272364531573,7.803302736286206,6.124451171112887,2021-12-29 21:07:50
1014,104.58712153179656,97.42492982771061,102.62880678530092,101.54695271493603,6.043682478089633,5.634110818713026,5.984254717053665,6.620289884878471,8.72726398851744,10.072683637305902,7.962015490962208,6.261528610325804,8.72726398851744,10.072683637305902,7.962015490962208,6.261528610325804,2021-12-29 21:08:21
1015,105.11143160847479,97.76265244555898,102.76693126955804,101.88033844119727,5.968227794223467,5.555254239391587,5.9375317016427935,6.580684443471334,8.488106126727667,9.891865701750826,7.803448174341899,6.03107229648197,8.488106126727667,9.891865701750826,7.803448174341899,6.03107229648197,2021-12-29 21:08:52
